transaction_id,customer_id,transaction_date,amount,category
1,1,2024-03-23,81.15,Electronics
2,1,2024-01-12,26.18,Electronics
3,1,2024-09-27,54.1,Electronics
4,1,2024-12-14,59.25,Electronics
5,1,2024-02-17,60.29,Clothing
6,2,2024-05-05,158.12,Electronics
7,2,2024-02-12,177.47,Sports & Outdoors
8,2,2024-07-01,148.41,Home & Garden
9,2,2024-07-09,133.44,Electronics
10,2,2024-03-04,131.66,Electronics
11,2,2024-07-07,122.48,Home & Garden
12,2,2024-08-31,185.44,Electronics
13,2,2024-05-05,120.91,Electronics
14,2,2024-08-23,188.1,Electronics
15,2,2024-03-20,150.85,Clothing
16,2,2024-07-14,126.54,Sports & Outdoors
17,2,2024-08-28,177.83,Electronics
18,2,2024-12-18,117.26,Clothing
19,2,2024-07-13,178.72,Electronics
20,2,2024-02-16,159.57,Sports & Outdoors
21,2,2024-12-09,123.17,Electronics
22,2,2024-03-04,173.79,Electronics
23,3,2024-05-12,69.84,Electronics
24,3,2024-02-04,80.84,Electronics
25,3,2024-01-14,77.39,Home & Garden
26,4,2024-07-13,91.79,Electronics
27,4,2024-02-22,52.94,Electronics
28,4,2024-07-24,138.77,Home & Garden
29,5,2024-01-28,46.31,Sports & Outdoors
30,5,2024-07-03,102.78,Sports & Outdoors
31,5,2024-03-31,90.35,Electronics
32,5,2024-12-11,51.82,Clothing
33,5,2024-03-24,77.02,Home & Garden
34,5,2024-08-05,78.11,Sports & Outdoors
35,6,2024-11-30,111.33,Books & Media
36,6,2024-05-05,62.88,Home & Garden
37,6,2024-07-06,73.71,Sports & Outdoors
38,6,2024-10-13,23.93,Electronics
39,6,2024-03-10,121.63,Clothing
40,6,2024-08-05,54.31,Electronics
41,6,2024-07-28,87.85,Electronics
42,6,2024-12-16,77.57,Clothing
43,6,2024-11-14,77.65,Home & Garden
44,6,2024-11-08,99.44,Clothing
45,7,2024-07-30,120.11,Sports & Outdoors
46,7,2024-02-13,86.04,Clothing
47,7,2024-06-17,95.72,Clothing
48,7,2024-08-12,87.89,Sports & Outdoors
49,7,2024-06-11,104.42,Clothing
50,8,2024-07-24,51.67,Clothing
51,8,2024-11-24,79.36,Home & Garden
52,9,2024-09-30,106.65,Electronics
53,9,2024-11-09,105.98,Home & Garden
54,9,2024-12-02,64.16,Clothing
55,10,2024-04-03,75.96,Sports & Outdoors
56,10,2024-03-09,85.75,Electronics
57,10,2024-10-11,47.1,Clothing
58,11,2024-06-27,221.77,Clothing
59,11,2024-12-21,149.45,Electronics
60,11,2024-12-08,162.78,Home & Garden
61,11,2024-11-17,124.03,Clothing
62,11,2024-11-26,90.29,Electronics
63,11,2024-09-22,122.82,Electronics
64,11,2024-01-15,159.86,Books & Media
65,11,2024-09-10,180.3,Clothing
66,11,2024-09-11,157.28,Home & Garden
67,11,2024-09-17,165.6,Electronics
68,11,2024-12-17,134.83,Sports & Outdoors
69,11,2024-11-18,172.33,Sports & Outdoors
70,11,2024-04-18,216.73,Clothing
71,11,2024-05-30,181.72,Books & Media
72,11,2024-07-02,186.43,Electronics
73,12,2024-12-25,65.29,Clothing
74,12,2024-09-07,32.94,Clothing
75,12,2024-05-26,41.2,Sports & Outdoors
76,12,2024-05-20,68.19,Home & Garden
77,12,2024-05-15,59.8,Sports & Outdoors
78,12,2024-05-05,67.92,Electronics
79,13,2024-05-24,90.18,Sports & Outdoors
80,13,2024-01-25,73.07,Clothing
81,13,2024-07-16,82.66,Home & Garden
82,13,2024-09-18,61.7,Books & Media
83,14,2024-06-01,113.68,Clothing
84,14,2024-03-05,147.4,Books & Media
85,14,2024-12-09,113.79,Clothing
86,14,2024-07-05,220.12,Sports & Outdoors
87,14,2024-09-11,185.57,Clothing
88,14,2024-04-26,173.42,Sports & Outdoors
89,14,2024-10-14,205.62,Clothing
90,14,2024-11-29,59.1,Sports & Outdoors
91,14,2024-11-30,176.47,Sports & Outdoors
92,14,2024-01-11,91.02,Home & Garden
93,14,2024-03-12,149.67,Electronics
94,14,2024-05-10,135.97,Electronics
95,14,2024-03-21,179.78,Sports & Outdoors
96,14,2024-05-09,160.27,Sports & Outdoors
97,14,2024-06-30,210.53,Home & Garden
98,14,2024-11-04,122.91,Clothing
99,14,2024-02-17,181.91,Sports & Outdoors
100,14,2024-01-31,157.3,Home & Garden
101,14,2024-11-10,76.41,Sports & Outdoors
102,14,2024-04-23,108.66,Electronics
103,15,2024-05-09,57.3,Clothing
104,15,2024-08-13,80.02,Home & Garden
105,15,2024-07-22,68.35,Books & Media
106,15,2024-07-03,38.98,Home & Garden
107,15,2024-02-23,57.47,Home & Garden
108,15,2024-05-31,96.32,Electronics
109,16,2024-01-30,82.67,Electronics
110,16,2024-07-09,72.14,Electronics
111,16,2024-04-28,91.8,Home & Garden
112,16,2024-12-20,98.32,Sports & Outdoors
113,16,2024-06-01,69.05,Electronics
114,16,2024-11-20,92.06,Home & Garden
115,16,2024-09-28,72.11,Electronics
116,16,2024-05-16,97.26,Books & Media
117,16,2024-08-23,84.07,Home & Garden
118,17,2024-03-20,68.68,Home & Garden
119,17,2024-05-04,46.33,Clothing
120,17,2024-09-12,45.22,Home & Garden
121,18,2024-10-18,44.93,Clothing
122,18,2024-05-14,34.17,Clothing
123,18,2024-06-05,37.99,Home & Garden
124,18,2024-06-30,31.78,Home & Garden
125,19,2024-08-21,101.57,Home & Garden
126,19,2024-02-29,65.41,Electronics
127,19,2024-04-08,76.75,Home & Garden
128,19,2024-09-09,98.86,Home & Garden
129,19,2024-05-27,108.15,Home & Garden
130,19,2024-12-03,67.43,Sports & Outdoors
131,19,2024-08-12,127.03,Home & Garden
132,19,2024-09-27,87.52,Electronics
133,20,2024-12-15,54.97,Electronics
134,20,2024-01-13,88.86,Electronics
135,20,2024-11-03,70.81,Books & Media
136,20,2024-07-20,90.42,Sports & Outdoors
137,20,2024-03-07,78.97,Clothing
138,21,2024-08-24,81.78,Clothing
139,21,2024-05-18,58.12,Home & Garden
140,21,2024-12-07,103.76,Electronics
141,21,2024-01-21,52.25,Electronics
142,22,2024-06-21,40.04,Home & Garden
143,22,2024-02-20,66.61,Electronics
144,22,2024-10-09,88.85,Clothing
145,22,2024-09-15,53.65,Electronics
146,23,2024-01-09,96.82,Clothing
147,23,2024-03-10,105.76,Home & Garden
148,23,2024-03-08,99.55,Clothing
149,23,2024-11-04,72.53,Electronics
150,24,2024-11-28,40.36,Electronics
151,24,2024-11-21,20.26,Clothing
152,24,2024-07-01,55.27,Electronics
153,24,2024-09-26,81.21,Books & Media
154,25,2024-08-14,53.02,Sports & Outdoors
155,25,2024-08-03,96.81,Clothing
